Timestamp: 2023-11-03_11-43-40, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-41, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-42, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-43, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-44, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-45, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-47, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-31, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-32, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-33, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-34, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-36, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-37, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-38, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-39, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-40, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-41, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-42, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-43, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-44, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-45, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-46, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-47, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-49, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-50, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-51, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-52, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-53, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-54, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-55, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-56, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-57, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-58, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-55-59, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-56-00, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-56-01, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-56-03, Exposure Time: 1995.0
